Critic Name,Review,Rating
Sandie Angulo Chen,This is the steamy romance you want your teens to see.,2
Mark Jackson,"Blake Lively is lovely in 'It Ends With Us,' but this domestic abuse film needed less 'Sweet Home Alabama' and more black eyes and bloody noses.",3.5
Derek Sante,"I enjoyed it and the audience reactions back me up, with some saying it's better than the book. Grade: B+ from me.",4
Aglaia Berlutti,The plot of 'It Ends With Us' does not forget that part of the success of the book it comes from is based on the emotions of its characters. [Full Review in Spanish],3.5
Michael Cook,"It's similar to a Lifetime movie. It's decent, but flawed",3.5
Susan Kamyab,"“It Ends with Us” is an unforgettable, compelling story that will move all audiences.",4.5
Aaron Neuwirth,"I’m all for getting behind a melodramatic story that is clearly appealing to audiences who are not always well-served by theatrical releases, but being glossy and soapy can only get a movie so far.",5
Gisela Savdie,"Although the narrative may seem predictable in some aspects, the film presents unique elements, such as the way the camera captures episodes of violence, reflecting people's tendency to ignore such signs. [Full review in Spanish]",
Jackie K. Cooper,Blake Lively provides a strong entertainment core for this affecting romance/drama.,3
Sarah Marrs,"It Ends With Us has lofty goals it ultimately cannot meet, and the end result is a bad film that is borderline insulting in its depiction of the very subject it seeks to explore.",
Lisa Trifone,"There are only brief moments of intensity, none of which are brave enough to do anything but hint at what's really going on.",2.5
Terry Staunton,"Lively does well as the conflicted star of the piece, assured at every point of her character's emotional journey.",3
Micheal Compton,"It Ends With Us is well-made, but ultimately over-stuffed. There is a good film buried somewhere inside this Lifetime movie facade, making it even more frustrating to have to sit through.",2.5
Renuka Vyavahare,"The gaze feels like it’s a bit too obsessed with Blake’s beauty than her ability to bring a character to life. If you don’t look for relatability, you won’t mind watching this one more for the glamour than the substance.",3
Linda Cook,It's a realistic look at domestic violence that answers the question: 'Why doesn't she just leave?',3.5
Natalia Trzenko,"On the other hand, the creative decision... to structure the adaptation with the same point of view of the novel is very successful: Lily lives and narrates everything that happens. [Full review in Spanish]",3
Pablo O. Scholz,"As often happens, the theme may be attractive rather than captivating, yet the form is not. And that's what happens with this film, which is also very long.",2.5
Rob Gonsalves,"The movie isn’t disgraceful, but we may have a hard time distinguishing it from the usual Hallmark or Lifetime fodder aside from the star power of Lively and the bestselling imprimatur of Hoover.",3
